site,terrain,plot_type,Y,X,n_spruce,plot_area_m2
FoxLake,Lowland,Quick,6796881.362,470154.2343,0,40
FoxLake,Lowland,Regen,6796883.495,470048.1213,0,12.56637061
FoxLake,Lowland,Quick,6796890.315,470149.78,0,40
FoxLake,Lowland,Regen,6796893.621,469909.0948,0,50.0144692
FoxLake,Lowland,Quick,6796898.663,469916.8463,0,40
FoxLake,Lowland,Quick,6796902.569,469910.0609,0,40
FoxLake,Lowland,Quick,6796904.115,469925.2294,0,40
FoxLake,Lowland,Quick,6796909.567,469933.6125,0,40
FoxLake,Lowland,Quick,6796912.512,469911.1343,0,40
FoxLake,Lowland,Quick,6796915.018,469941.9956,0,40
FoxLake,Lowland,Regen,6796919.35,469983.7175,0,12.56637061
FoxLake,Lowland,Regen,6796919.977,470135.0235,0,50.0144692
FoxLake,Lowland,Quick,6796920.47,469950.3787,0,40
FoxLake,Lowland,Quick,6796921.327,470126.1254,0,40
FoxLake,Lowland,Regen,6796921.559,470016.7416,0,50.0144692
FoxLake,Lowland,Quick,6796922.142,470007.7605,0,40
FoxLake,Lowland,Quick,6796922.454,469912.2078,1,40
FoxLake,Lowland,Quick,6796922.79,469997.7815,0,40
FoxLake,Lowland,Quick,6796922.828,470116.2386,0,40
FoxLake,Lowland,Quick,6796923.437,469987.8026,0,40
FoxLake,Lowland,Quick,6796924.085,469977.8236,0,40
FoxLake,Lowland,Quick,6796924.329,470106.3519,0,40
FoxLake,Lowland,Quick,6796924.733,469967.8446,0,40
FoxLake,Lowland,Regen,6796925.377,469957.9235,4,50.0144692
FoxLake,Lowland,Quick,6796925.829,470096.4651,0,40
FoxLake,Lowland,Regen,6796926.28,469944.3773,0,50.26548246
FoxLake,Lowland,Quick,6796927.33,470086.5784,10,40
FoxLake,Lowland,Quick,6796927.428,470027.4403,0,40
FoxLake,Lowland,Quick,6796927.722,470037.4359,4,40
FoxLake,Lowland,Quick,6796928.017,470047.4316,0,40
FoxLake,Lowland,Quick,6796928.312,470057.4272,2,40
FoxLake,Lowland,Quick,6796928.607,470067.4229,0,40
FoxLake,Lowland,Regen,6796928.872,470076.419,1,50.0144692
FoxLake,Lowland,Quick,6796932.396,469913.2812,4,40
FoxLake,Lowland,Quick,6796942.338,469914.3546,0,40
FoxLake,Lowland,Regen,6796945.283,469781.2497,5,50.0144692
FoxLake,Lowland,Quick,6796952.281,469915.4281,8,40
FoxLake,Lowland,Quick,6796962.223,469916.5015,2,40
